Date received,Product,Consumer complaint narrative,Company,State,Company response to consumer,Resolution_Time_Days,root_cause_category,severity_score,regulatory_risk_flag
2025-07-05,Credit card,"I am a victim of identity theft. Someone used my personal information to open up 2 Capital One credit card accounts. The Capital One credit card accounts are both fraudulent accounts and is the result of identity theft. I never applied for any credit card accounts with XXXX XXXXXXXX XXXX XXXX XXXX XXXX XXXX  credit card accounts arent my accounts. Full Name : XXXX XXXX XXXX, XXXX : XX/XX/year>, XXXX : XXXX",CAPITAL ONE FINANCIAL CORPORATION,MN,Closed with non-monetary relief,0,Identity Theft/Fraud,5,True
2025-10-23,Credit card,I had an account paid off though an adjustment on XX/XX/XXXX which is over 60 days ago as of XX/XX/XXXX when I spoke to someone around XX/XX/XXXX I was told the account would be deleted from my credit within 60 days which it has not been deleted or updated which is in severe violation of the FCRA.,NAVY FEDERAL CREDIT UNION,NC,Closed with explanation,1,Credit Reporting Dispute,4,True
2025-09-15,Credit card,"I lost my job in XXXX of 2025. I immediately called Capital One because they are the only card that doesn't have credit protection. I asked what options on assistance with this card were because I was XXXX. They stated that they would give me three months no interest, but I still had to make the payment. This was unacceptable because I was XXXX  and unable to receive unemployment. I missed two payments. One in XXXX and one in XXXX. They stated that I missed three which was not the case. They stated that I had to pay over XXXX in order to get back on track with my credit card. They have been reporting all of this to the credit bureau even though I was paying payments. My score has dropped tremendously. I contacted them on numerous occasions to see what could be done. They stated that I could do a payment plan and asked me how much I could pay. I advised them that I could pay {$60.00} dollars a month. I asked if we could make it that amount, but I would pay more when I was able, they told me that there was no option to pay that amount meaning they wanted to dictate how much I pay them instead of me paying what I was able to afford. I advised them to close the card, and I will pay them until the card is paid off. They agreed but they are still reporting it to the credit bureaus and not allowing me to pay them the amount that I have. I have been trying to pay what I can every week to get this card paid off and they are being very uncooperative. I have to contact them directly in order to pay an amount other than what they would like me to pay. This card is not made to help the consumer. The interest rates are extremely high as mine is 27.24 % .I will hold myself accountable for not knowing that or else I would never have accepted that card. They do not have credit protection, and they are the worst at assisting someone in their time of need. The card is now closed but they are still reporting it to the credit bureaus ruining my credit. I have had this card for years and I pay it early every month. That should let them know that if I say I can't pay then I really can not pay. This situation is really hindering me from moving on with my life because it's affecting my credit score in the worst way.",CAPITAL ONE FINANCIAL CORPORATION,NJ,Closed with explanation,0,Billing and Collections Dispute,4,True
2025-09-18,Credit card,"My accounts was never late! I have had exceptional payment history with XXXX XXXX and all payments were placed on Autopay. This late payment that is reporting is a result on a systematic error on their end processing my payment. This was clearly a billing error made my the company and is not a reflection of my payment experience which violates USC Code 1681eb. This error has caused severe hard to my reputation, my character, my mode of living and to my family! I demand the late payment reported to be removed/updated. They are not in compliance with the following law. 15 USC 1666b and its requirements set the standards and the guidance for a creditor to treat a payment as late, yet they are reporting a payment as late and they did not comply with the law! 15 USC 1666b ( a ) Time to make payments A creditor may not treat a payment on a credit card account under an open end consumer credit plan as late for any purpose, unless the creditor has adopted reasonable procedures designed to ensure that each periodic statement including the information required by section 1637 ( b ) of this title is mailed or delivered to the consumer not later than 21 days before the payment due date. I have requested proof that this information was mailed or delivered 21 days before the payment due date and this information was requested in good faith pursuant rule 1002 and It was never provided. This is unfair, illegal, fraudulent, and not equitable to me as a consumer!","TRANSUNION INTERMEDIATE HOLDINGS, INC.",CA,Closed with non-monetary relief,0,Billing Error / Payment Processing Failure,4,True
2025-04-30,Credit card,"On XX/XX/XXXX I made three chase card payments, six days later I paid all three cards off which were not due until XX/XX/2025. I called and spoke and a person to get the balance owed. I paid my three cards in full on XX/XX/2025. I opened my mail today two of the credit cards have balances due? I called and spoke with someone on XXXX and she said that it was exisusle interest? I paid all cards in full. I would like for chase bank to XXXX balance all my cards. I paid the balances a month in advance. Thanks",JPMORGAN CHASE & CO.,MD,Closed with monetary relief,0,Billing Dispute,3,True
2025-09-05,Credit card,I had several charges on my credit card and i had asked for a new one prior to those charges because it was lost and those charges still went through for around XXXX and they gave me credits but charged them back and i was no near that location or establishment for those charges,NAVY FEDERAL CREDIT UNION,CA,Closed with monetary relief,0,Unauthorized Transactions,4,True
2025-04-13,Credit card,Over XXXX of charges were nit made by ne. I was sick with failing XXXX and in the XXXX. Card will not dispute.,AMERICAN EXPRESS COMPANY,GA,Closed with explanation,0,Unauthorized Transactions,5,True
2025-08-20,Credit card,"Could you please help me investigate accounts that are misreported as late by these companies? Ive reviewed my credit report and noticed these accounts inaccurately display late payment remarks. Those should be removed, and the accounts should be updated to the positive status we agreed upon. XXXX account is also listed as delinquent unjustly ; Id like this to be disputed and corrected to show no late payments.",Experian Information Solutions Inc.,IL,Closed with explanation,0,Credit Reporting Dispute,3,True
2025-08-26,Credit card,"Dear cfpd XXXX XXXX, Our business has received an unsolicited credit card in the name of XXXX XXXX XXXX. This individual has no association with our company and is not authorized to open accounts on our behalf. 

In addition to closing and voiding this account, we respectfully request written confirmation of the following : That no fraudulent activity has been conducted on the account. 

That no additional credit requests, inquiries, or accounts have been submitted under our businesss name or tax identification number. 

That our company bears no liability for this card or any related activity. 

Please advise on the proper handling of the physical card ( destruction or return ).",JPMORGAN CHASE & CO.,KS,Closed with explanation,0,Identity Theft / Unauthorized Account Opening,5,True
2025-11-27,Credit card,"Im reaching out regarding XXXX late payments that occurred on my account in XXXX, XXXX, and XX/XX/2024. During that time, I experienced a major life change I was in the process of relocating to Pennsylvania, and with the move, address changes, and temporary financial strain, things became very overwhelming. Unfortunately, my payments were missed during that transition. 

Since then, I have brought my account current and have remained on-time with my payments because my situation has stabilized. The late payments do not reflect my normal payment behavior or my intention as a customer. 

I value my relationship with XXXX and appreciate the services you provide. I am respectfully requesting a one-time goodwill adjustment to remove those late payment marks from my credit report. This would greatly help me continue rebuilding my credit and move forward financially. 

Thank you for reviewing my request, and please let me know if you need any additional information from me.",Atlanticus Services Corporation,PA,Closed with explanation,0,Customer Life Event / Financial Hardship,2,False
2025-03-13,Credit card,"I was going to XXXX for two months and I wanted to obtain AMEX platinum card after I have spoken to AMEX agent. I applied AMEX platinum card on XX/XX/year> online, and it was approved on the next day on XXXX. However I left XXXX for XXXX before the card was FedExed to me. I come back from XXXX on XX/XX/year> to find the XXXX  envelope from AMEX was left on my home yard. I did not activate the enclosed Amex Card after I have read the term & conditions that had a discrepancy from the Amex agent I have spoken to on XXXX, instead I called AMEX to cancel the card. The representative told me to discard the card and confirmed the card was cancelled. AMEX have also sent me the cancellation confirmation to my email address on the same day. 
However, later time, I have received the annual card fee for {$690.00}, for the card i have never activated and duly cancelled. I called AMEX immediately and the agent told me that it will be brought to the supervisor who will call me back. I have tried numerous time because nobody from AMEX called me for the matter. Today I visited XXXX XXXXXXXX XXXX who provided me with your site to file the complaints.",AMERICAN EXPRESS COMPANY,HI,Closed with monetary relief,0,Billing Dispute,3,True
2025-08-04,Credit card,"My Capital one silver account have been compromised. I reported the fraud to Capital one and they were not able to fully assist. I went to the Capital one location XXXX XXXX XXXXXXXX PA. I got my my account unlock a was told I would get a replacement card sent to my address. That card never came I called Capital one and I was informed my account was frozen because my identity could not be verified. I called up Capital one again and they requested me to click a link and provide a picture of me holding up my drivers license. 
I provided that information and was told to click another link and provide my information again via website. I done that and was told they needed me to submit another upload of my information because my case was closed on XXXX  Despite me sending in my information 5 days prior. Capital one allowed a hacker to use my identity and make purchases. However they will not allow me to protect my account. They allowed a purchase from identity theft while the Capital one account was frozen. At this point they must have an inside worker who stole my identity.",CAPITAL ONE FINANCIAL CORPORATION,PA,Closed with explanation,0,Identity Theft and Fraud Resolution Failure,5,True
2025-01-02,Credit card,I reveived a CASHAP credit card in the mail I did not apply for. I called the company and they are working on closing it but did not give me any details on how somone opened it in the first place.,"Block, Inc.",MI,Closed with explanation,0,Identity Theft/Fraudulent Account Opening,5,True
2025-07-30,Credit card,"XXXX and XXXX XXXX paid their bill in full on XX/XX/XXXX. It was a Barclays XXXX Credit card that only had XXXX monthly XXXX set up. Barclays drew the correct bill-pay on the XXXX and they received {$2000.00} but it went into XXXX of our closed RCI credit card accounts from 10 years ago. So Barclays decided to draw on our account XXXX more times but failed due to insufficient funds. With the help of our XXXX XXXX XXXX XXXX and their XXXX XXXX. XXXX, we gave them the routing, electronic and file trace numbers and account numbers, dates and amounts. They still bounced our next payment on XX/XX/XXXX by dropping our credit limit the day before the draw, then reported us to the credit reporting agencies which dropped our credit scores up to XXXX points, and then the next day told us they were going to post our deposit that we showed them on XX/XX/XXXX which was 19 days earlier. The posting occurred on XXXX XXXX  XXXX  days later. XXXX and XXXX XXXX have never ever been delinquent on an account, and our credit scores range between XXXX and XXXX and have for more than XXXX  years. Needless to say, we were not delinquent on this account either, but Barclays machine sure drug us through the mud. 


Read all the details in the attachments.",BARCLAYS BANK DELAWARE,TX,Closed with explanation,0,Unknown,1,False
2025-11-06,Credit card,"TD Bank triple billed me for a promotional financing purchase I made at XXXX XXXX in XX/XX/XXXX, resulting in my monthly minimum payment being incorrectly calculated at XXXX times the expected amount. I filed a billing dispute, which resulted in TD Bank correcting the error. While under dispute, I continued to make the correct monthly payment by the due date required. TD Bank eventually corrected the error but reported a XX/XX/XXXX day late payment to the XXXX credit bureaus for XX/XX/XXXX. Because TD Bank does not have an online or phone dispute filing system, the necessary forms were required to be mailed. By the time I receive responses, the next billing cycle started, requiring me to send another dispute. Even though my account is now showing current and in good standing, the late payment on my record resulted in denial of credit when I co-signed for my sons college student loan. I filed disputes directly with XXXX XXXX XXXX XXXX. I was told that TD Bank stated their report was correct. Eventually, I reached someone at TD Bank that instructed me to file a credit dispute. TD Bank then responded that my account was correct and refused to submit corrections to my credit report.",TD BANK US HOLDING COMPANY,MI,Closed with non-monetary relief,0,Billing Error and Credit Reporting Dispute,5,True
2025-04-23,Credit card,Someone got my information and they using it one everything you can every contact XXXX I have reported they have been changing my company information with the same information they used on this loan,Experian Information Solutions Inc.,AZ,Closed with explanation,0,Unknown,1,False
2025-08-22,Credit card,"There were two charges from a company called XXXX XXXX XXXX on my card that I did not make for {$190.00} on XX/XX/2025. I called First Progress and disputed these charges ; they escalated it to fraud and told me I would receive a letter regarding their decision. The letter arrived on XX/XX/XXXX, stating these charges were deemed fraudulent, I was not responsible for payment, and that my account had been closed. On XX/XX/XXXX, First Progress started sending me payment reminders that I have a balance due of {$190.00}. I called again and explained to them that I received a letter saying these disputed charges were found to be fraudulent and I was not responsible ; please remove them from my balance, I was not paying for it, and my account was supposed to be closed. They told me to download the claim dispute form on their site, fill it out, and return it to the fax number provided with the received letter from the fraud department and provide a reason why I do not feel I am responsible for these charges. I did all that was requested and faxed it on XX/XX/2025. 

It is now XX/XX/2025, and First Progress is now racking up late fees for this unpaid balance, which I have been told I am not responsible for ; the charges have never been removed, and my account is still active and "" past due ''. I have called again, was transferred to four different people/departments, the last being the front house fraud department , and I was told that they do not see any of the faxes or dispute files sent because that goes to the back house of the fraud department. She said she would expedite my dispute claim, and I would be receiving a letter about their decision in about two weeks ( again )!

I have been getting the run-around for over a month now, with all people/departments passing the XXXX  on my calls and complaints, nobody knows anything about anything, but they are racking up late fees and expecting me to pay. One agent even suggested I pay the full amount, and that they would "" with no problem '' refund me my money after the fraud department finished their case and made a decision ; remind you, it's a decision that was already made on XX/XX/XXXX by the fraud department. 

XX/XX/2025 Update : In XXXX, I was informed my above card and account were closed ; instead, a new account/card number was created without my knowledge, I never received a physical card, and two more XXXX XXXX XXXX  charges appeared and posted on XX/XX/2025 ( same amounts as before ). I called First Progress again, spoke to an agent named XXXX, was told sorry for the inconvenience, they do not know what happened, was maybe a conversation misunderstanding, and it would be taken care of asap. I asked for email verification that they actually closed my account this time and was informed that "" they can not do that, '' but that my refund check would be sent to me within 30 days guaranteed. I will be watching for this.",Synovus Bank,NV,Closed with monetary relief,35,Billing Dispute and Fraud Resolution Failure,5,True
2025-09-05,Credit card,"I state that the incorrect late payment notations on my accounts represent a violation of 15 USC 1666. I have consistently made my payments on time, and any errors in this reporting are both unfair and unlawful.",Experian Information Solutions Inc.,VA,Closed with explanation,0,Credit Reporting Error,4,True
2025-10-17,Credit card,"I received a rejection when trying to use my Synchrony XXXX on XXXX. I received another notice that one of my bills that I had set up for autopayment did not go through. I called the credit card company on XXXX only to be informed that my card had been canceled on XXXX because I had too many authorized users on my account. However, the card had a limited number of people you could authorized and I only had my immediate family as authorized users. They ironically canceled my card right after I had requested my name be updated because of getting married. I requested that the card be reinstated when I called on XXXX and was told I would receive a response within 30 days. I still have not received any response. 
I received a written notice in the mail 12 days after the company had closed my account. The cancellation of the account did affect my entire family 's credit scores and also made me late on one of my monthly bills. 
I would like to know why the company did not notify me prior to cancelling my card as I never had any missed payments, my credit score is "" excellent '' on all credit checks, and the reason for cancelation I believe is fraudulent since they only allow a set number of authorized users. 
I would strongly suggest that any credit card that is used on a regular basis and paid for regularly be given the common curtesy of a notice so that bills are not late and no late payments by consumers are occurred because a credit card company randomly cancels the card without prior notice. This is a serious consumer issue. 
I had also earned cash back rewards that because or Synchrony XXXX 's neglectful information was not applied to my account. 

I however, do understand cancelling a credit card for non-payment, non-use, or even rejecting because of poor credit. Synchrony XXXX had none of those issues with my account and my useage and payment history show that there were none of these issues.",SYNCHRONY FINANCIAL,WI,Closed with explanation,18,Account Management and Adverse Action,4,True
2025-05-27,Credit card,"I am filing a formal complaint against Barclays for closing my account without cause after months of charging excessive interest and inflating my balance. The balance is abnormally high for my limited card usage, and I demand an investigation. 

I will only agree to pay if Barclays : XXXX. Reopens my account, XXXX. Provides a full breakdown of the charges, and XXXX. Adjusts any unfair or incorrect balances. 

This situation is unacceptable, and I request the XXXXs assistance in resolving it.",BARCLAYS BANK DELAWARE,CA,Closed with explanation,0,Billing Dispute and Account Closure,4,True
2025-08-13,Credit card,"Hello, There was XXXX Shop Your Way points promotion with totaling {$1500.00} spending between XX/XX/year> and XX/XX/year>, and I met the spending requirement. However, the bonus points weren't issued until now. 

I called customer service and they told me that the promotion was "" EACH MONTH '' not "" TOTALLING ''. I still have the email I received and it CLEARLY SAYS "" Activate this offer and use your card to earn XXXX Bonus Shop Your Way Points when you make eligible purchases "" totaling '' {$1500.00} or more made with your Shop Your Way XXXXXXXX between XXXX through XXXX. 

I contacted multiple times and heard same answers that since the promotion is for "" EACH month '' spending, I didn't meet the spending requirement. However as you can see the attachment, it says "" XXXX '' not each month. 

I contacted multiple times, but the requests have been denied. 

I want to it is resolved fairly and get my bonus points back. 

Thank you.","CITIBANK, N.A.",VA,Closed with non-monetary relief,0,Promotional Misrepresentation,3,True
2025-04-24,Credit card,I had previously used the card and paid it off. The next thing I know the card was closed.,"CITIBANK, N.A.",VA,Closed with non-monetary relief,0,Unknown,1,False
2025-07-21,Credit card,My identity was fraud and this unknown person used my identity to create an American Express business card. I have sent American Express with police reports and proof that I wasnt in the country when this happened but they are still holding me accountable for this money when I am not the one that spent the money.,AMERICAN EXPRESS COMPANY,NY,Closed with explanation,11,Identity Theft/Fraud,5,True
2025-01-16,Credit card,I logged into my credit card account to check my balance and see if my payment had gone through and I noticed a charge on XX/XX/year> for XXXX even. The only information I have is that the charge was made in Georgia. Whoever did this basically maxed out my credit card.,"Bread Financial Holdings, Inc.",TX,Closed with monetary relief,0,Unauthorized Transaction,5,True
2025-09-10,Credit card,"I used XXXX XXXX XXXX XXXXXXXX plan to book an XXXX totaling {$1300.00}. I paid {$200.00} out of pocket ( XXXX installments ). The XXXX booking was canceled, and on XX/XX/year>, XXXX refunded Klarna in full ( {$1200.00} ). 

Despite Klarna receiving the full refund, they only returned {$83.00} to me. The remaining {$110.00} is being withheld by Klarna, labeled as an adjustment or interest. XXXX own chat records confirm they are keeping the {$110.00} as interest, even though the underlying purchase was canceled and refunded in full. 

It is improper and unfair for Klarna to charge or withhold interest on a canceled order that has been refunded in full by the merchant. This practice has left me with a financial loss of {$110.00} despite Klarna being in possession of the full refund. 

I am requesting that Klarna be required to return the withheld {$110.00} to me and that XXXX practice of charging interest on canceled/refunded transactions be reviewed. 

Timeline of Events Original Purchase : XXXX booking made through Klarna ( XXXX XXXX XXXX plan ). 

Total : {$1300.00} ( including taxes & fees ). 

Out-of-pocket payments made : {$200.00} ( XXXX installments : {$120.00} + {$81.00} ). 


XX/XX/year> : XXXX canceled the booking. 

XXXX refunded Klarna {$1200.00} in full. 


After Refund : Klarna returned only {$83.00} to me. 

Remaining {$110.00} withheld by Klarna, marked as adjustment/interest. 


Issue : Klarna has acknowledged receiving the {$1200.00} refund from XXXX. 

Klarna has applied {$110.00} as interest, even though the underlying purchase was canceled. 

This has left me with a loss of {$110.00} despite the order being fully refunded.",Klarna AB,CA,Closed with monetary relief,1,Billing Dispute,4,True
2025-08-20,Credit card,"I requested a balance transfer on XX/XX/year>XXXX  with my XXXX XXXX issued by Barclays bank, the phone number for Barclays bank is XXXX for my credit card ending in XXXX. The money was supposed to be in my XXXX XXXX checking account ending in XXXX. Every time I have called Barclays, no one help helps me. I called XXXX XXXX. They have never received the balance transfer. I am now making payments to keep my credit intact for money I never received. The amount is {$20000.00}. No one is helping me and I need help.",BARCLAYS BANK DELAWARE,CA,Closed with explanation,0,Transaction Processing Error,5,True
2025-09-17,Credit card,"My accounts was never late! I have had exceptional payment history with XXXX XXXX and all payments were placed on Autopay. This late payment that is reporting is a result on a systematic error on their end processing my payment. This was clearly a billing error made my the company and is not a reflection of my payment experience which violates USC Code 1681eb. This error has caused severe hard to my reputation, my character, my mode of living and to my family! I demand the late payment reported to be removed/updated. They are not in compliance with the following law. 15 USC 1666b and its requirements set the standards and the guidance for a creditor to treat a payment as late, yet they are reporting a payment as late and they did not comply with the law! 15 USC 1666b ( a ) Time to make payments A creditor may not treat a payment on a credit card account under an open end consumer credit plan as late for any purpose, unless the creditor has adopted reasonable procedures designed to ensure that each periodic statement including the information required by section 1637 ( b ) of this title is mailed or delivered to the consumer not later than 21 days before the payment due date. I have requested proof that this information was mailed or delivered 21 days before the payment due date and this information was requested in good faith pursuant rule 1002 and It was never provided. This is unfair, illegal, fraudulent, and not equitable to me as a consumer!","EQUIFAX, INC.",CA,Closed with non-monetary relief,0,Billing Error / Payment Processing Failure,4,True
2025-11-26,Credit card,"Im really confused about what happened with my Citi Strata card. I got approved, sent the documents you asked for right away, was told to wait weeks, and then suddenly the account was closed after just a few days. 
Can someone please explain whats going on? This doesnt seem right.","CITIBANK, N.A.",CA,Closed with monetary relief,0,Account Opening/Onboarding,3,False
2025-01-16,Credit card,"Dear Consumer Financial Protection Bureau, I am writing to file a formal dispute concerning interest charges on my Apple Card account, which appears to align with the issues highlighted in the lawsuit against Apple Card in XX/XX/2024. Specifically, I believe I was unfairly charged interest in a manner inconsistent with the terms and conditions provided by the card issuer. 

Despite making timely payments and maintaining a responsible payment history, I noticed discrepancies in how interest was calculated and applied to my account. This mirrors the allegations from the lawsuit, which identified practices that were potentially misleading or unfair to consumers. 

I respectfully request an investigation into my account statements and interest charges to determine if I was impacted by these practices. If so, I ask for appropriate corrective actions to be taken. 

Thank you for your time and assistance.",GOLDMAN SACHS BANK USA,SC,Closed with explanation,0,Billing and Interest Calculation Dispute,4,True
2025-12-19,Credit card,"The incident occurred on XX/XX/year>, I was trying to used my credit card to rent a car. I accidentally entered the wrong account number, so I attempted to enter the correct account. I received a message from the credit card company. Is this a fraud yes or no, so I replied no. And the response was thank you so I assume that I can still use my card. When I got to the rental car store to purchase the rental. I discovered that the credit card company had blocked the account. I immediately contacted the credit company and a representative told me that it was blocked and I would have to answer some security questions and they couldnt tell me which were incorrect or correct, but I failed the security questions. And the next step would be to take a photo of my ID driver license and a linked that they sent to me by mail. Someone could use that photo for identity theft purposes.","CLGF Holdco 1, LLC",WA,Closed with explanation,0,Fraud Prevention/Security Protocol,3,False
2025-02-02,Credit card,"I am a, victim of the XXXX Data Breach and I am filing this FTC Identity Theft Affidavit to report and request removal and blocking of a fraudulent collections account from XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX, appearing on my consumer XXXX credit report which I do not recognize which are the result of the XXXX XXXX XXXX. I demand the mentioned fraudulent items be blocked and removed from each of my consumer credit reports with in 4 days pursuant to FCRA 605B15 U.S.C 1681c-2 and all collection activity related to said items cease pursuant to my rights within the FCRA and FDCPA laws.",CAPITAL ONE FINANCIAL CORPORATION,CA,Closed with non-monetary relief,0,Identity Theft,5,True
2025-12-23,Credit card,"I am reporting a systemic billing error and a violation of Regulation Z ( 12 CFR 1026.10 ) by Synchrony Bank. I opened my account in XXXX and enrolled in Autopay. In XXXX, the bank underwent a platform migration. Since that migration, the bank has continued to successfully withdraw my monthly payments via ACH from my linked bank account. However, they are failing to credit the payments as of the 'Date of Receipt ' required by federal law. 

Although the bank is initiating the 'pull ' on my due date, they are charging me late fees because the payment 'posts ' a few days later. I have provided the bank with the ACH Trace ID ( included in my attached screenshots ) which proves they are the ones who initiated the transfer. Despite this, their staff incorrectly claims these are third-party payments and refuses to perform a payment research request. I am requesting a full refund of all late fees and interest charged in error since XXXX.",SYNCHRONY FINANCIAL,OK,Closed with explanation,0,Billing and Payment Processing Error,4,True
2025-06-02,Credit card,"on XX/XX/year> {$7400.00} was charged for a service that was agreed upon on XX/XX/year> the company that was to provide the service pulled a bait and switch and doubled the final fee. we asked for the deposit back they said no, we then contacted chase to dispute the charge because of the bait and switch fraud the company had pulled. chase has kicked it back multiple times siding with the company that has committed the fraud. i dont know if chase is getting a kick back from this company by honoring the fraudulent charge.",JPMORGAN CHASE & CO.,AZ,Closed with explanation,0,Billing Dispute,4,True
2025-02-06,Credit card,"This message is in regards to an incorrect charge for {$300.00} on XX/XX/year>, labeled "" Credit Adjustment '', that Chase has applied to my Chase XXXX XXXX credit card account ending in x XXXX. I am entitled to a {$300.00} annual travel credit each year on my Chase XXXX XXXX credit card. I received that {$300.00} credit on XX/XX/year>. But for some reason, I am being charged ( not credited ), I repeat CHARGED {$300.00} on XX/XX/year> for something that I did not incur. Over the past several weeks, I have sent numerous secure messages to Chase customer service and I have also called multiple times, and Chase refuses to remove this incorrect charge. My last communication with Chase card services was on XX/XX/year> with a supervisor named "" XXXX '' in the XXXX XXXX Texas XXXX, who stated that I would have this resolved in XXXX business days. It has now been almost XXXX weeks since that time, and it has NOT been resolved. I am now filing a formal complaint against Chase card services with the XXXX XXXX XXXX XXXX ( CFPB ) as well as the Better Business Bureau ( BBB ). I am further requesting that in addition to removing the incorrect {$300.00} charge that Chase has put on my account, that Chase also issue me a refund of {$450.00} for the credit card annual fee, due to the amount of time that they have caused me to waste on this issue, as well as their unprofessional conduct towards me as a customer. I find it very unprofessional from a company like Chase, who I have multiple credit card accounts with and have been a loyal customer with for many years.",JPMORGAN CHASE & CO.,FL,Closed with explanation,0,Billing Error,3,True
2025-04-10,Credit card,"I received communications from Discover card that I needed to provide my IRS tax transcript in order to verify my income or the account would be closed by XX/XX/year>. According to the customer service representative the credit bureaus are required to verify income before opening an account and as a current customer I am subject to a review of my income and account. Per the customer service representative the vague and ambiguous language that states my income can be verified through other means is left open to interpretation. The service representative stated that Discover card was entitled to request the IRS tax transcript and were also able to close the account if I failed to provide this information. I was forwarded the request through XXXX as well. I feel this constitutes a breach of contract and the harrassment from Discover card was further excacerbating the issue. The company should not feel entitled to probe into customer 's personal income tax information particularly, if this step is not taken as an initial qualifying measure for opening an account with Discover card. Furthermore, I have never been subjected to this sort of scrutiny from any creditor as it was demeaning and degrading.",DISCOVER BANK,AL,Closed with explanation,0,Account Management and Documentation Requirements,3,False
2025-01-14,Credit card,I recently refinanced my home. I received checks dated XX/XX/XXXX to pay off creditors and mailed them immediately. XXXX of the creditors was Barclays Bank. Check # XXXX {$2800.00}. I included my account information on the front of the check. After approximately XXXX weeks the payment had not posted to my account. I notified XXXX XXXX XXXX to find out what needs to happen. XXXX sent out a replacement check to Barclays and voided the first XXXX. This I was unaware of until being contacted by XXXX. Barclays cashed both checks and applied only XXXX check ( the voided check ) to my account. I filed a fraud case with Barclays on XX/XX/XXXX. On XX/XX/XXXX I received and email that my fraud case had been resolved and closed. I contacted Barclays at the same time looking at my account. They reversed the voided check from my account. This has put my account over the limit. XXXX on my credit. I asked if Barclays had found the replacement check. They have not. So why was my fraud case closed? I demanded they reopen the fraud case on XX/XX/XXXX to find the other check.,BARCLAYS BANK DELAWARE,UT,Closed with explanation,0,Payment Processing Error,4,True
2025-06-23,Credit card,"I am writing to formally dispute the reporting of a closed Navy Federal Credit Union credit card account listed on my credit report. 

This account was closed after my bank account with Navy Federal was also closed, due to suspected fraud that I had no involvement in. I was not provided an opportunity to resolve the issue prior to the account closure. Despite reaching out, Navy Federal proceeded to close the account without proper investigation or resolution. 

Additionally, this credit card was a secured card, funded entirely by my own savings. Therefore, I did not owe any balance at the time of account closure. This is not a delinquent or defaulted account. 

Under the Fair Credit Reporting Act ( FCRA ), I am requesting that the inaccurate reporting of this account be corrected or removed. I request that you : Investigate this account with Navy Federal Credit Union, Verify the accuracy of the closure status and reported balance, Remove any negative reporting associated with this account if it can not be verified or is found inaccurate.",NAVY FEDERAL CREDIT UNION,GA,Closed with explanation,0,Unknown,1,False
2025-04-28,Credit card,". It is my understanding the reason to believe that this debt was a charge off by you. Which was immortalized with a form of XXXX as proof of evidence was issued. If that is the fact, this debt is canceled and at least should not be reflecting any late payment date on my consumer file. 
This would indicate inaccuracy in reporting on your behalf and therefore it is a violation of FCRA by you, the furnisher, to continue to report and this inaccurate information. inaccurate Especially with the actual knowledge, notice, and confirmation of the errors. 
Please provide me with a with the return of the time and form as prescribed by regulation or the Secretary my name, my address, my TIN, the dates, and the amount discharged /charge off debt, and other information as prescribed by the secretary.","CITIBANK, N.A.",WI,Closed with non-monetary relief,0,Credit Reporting Accuracy,3,True
2025-08-22,Credit card,"My XXXX XXXX XXXX  account with XXXX XXXX with XXXX XXXX XXXX was fraudulently used for the amount of {$1700.00}. My payment was due XX/XX/XXXX, which was on a Sunday. I went to make my payment and noticed that my account displayed a different balance. However, I still made my payment because I didn't want to be late. With it being a Sunday, I couldn't call them to dispute it until Monday morning on XX/XX/XXXX. After I called, I really didn't feel like they were helpful with resolving the issue considering I was just scammed. While on the call it was discovered that all my information was changed on the account : My address, and my phone number. The address it was changed to was XXXX XXXX XXXX XXXX, XXXXXXXX XXXX XXXXXXXX. I live in XXXX, Tn XXXX and I've never been to Pennsylvania a day in my life. Then the charge was made at XXXX XXXX XXXX XXXXXXXX FL. The person who handled my account the last time I made a purchase on the account was XX/XX/2024. The guy who handled my account and purchasing was XXXXXXXX XXXX XXXX XXXX XXXX Phone number ( XXXX ) XXXX. Store number XXXX. I've never been scammed a day before in my life, and I've never made any payment late before. I made my payment, and my payment was returned due to my payment information being changed on the account as well.","CLGF Holdco 1, LLC",TN,Closed with monetary relief,0,Account Takeover / Fraud,5,True
